epoch	lr	acc	loss	val_acc	val_loss	delta_ema
157	1.0e-03	0.8245	0.7155	0.6498	1.6106	0.00374
158	1.0e-03	0.8243	0.7128	0.6410	1.6932	0.00404
159	1.0e-03	0.8271	0.7080	0.6519	1.6289	0.00458
160	1.0e-03	0.8277	0.7026	0.6549	1.6078	0.00540
161	1.0e-03	0.8299	0.6984	0.6346	1.7083	0.00575
162	1.0e-03	0.8305	0.6987	0.6620	1.5950	0.00551
163	1.0e-03	0.8307	0.6976	0.6517	1.6035	0.00487
164	1.0e-03	0.8292	0.6979	0.6513	1.6319	0.00351
165	1.0e-03	0.8298	0.6968	0.6501	1.6419	0.00279
166	1.0e-03	0.8295	0.6995	0.6541	1.6228	0.00219
167	1.0e-03	0.8305	0.6972	0.6529	1.6106	0.00170
168	1.0e-03	0.8288	0.7034	0.6541	1.6195	0.00055
169	1.0e-03	0.8336	0.6806	0.6474	1.6451	0.00342
170	1.0e-03	0.8340	0.6849	0.6512	1.6558	0.00375
171	1.0e-03	0.8297	0.6946	0.6539	1.6080	0.00194
172	1.0e-03	0.8325	0.6888	0.6479	1.6652	0.00201
173	1.0e-03	0.8349	0.6770	0.6499	1.6342	0.00341
174	1.0e-03	0.8349	0.6820	0.6329	1.7611	0.00282
175	1.0e-03	0.8367	0.6750	0.6476	1.6415	0.00325
176	1.0e-03	0.8371	0.6725	0.6523	1.6299	0.00347
177	1.0e-03	0.8375	0.6699	0.6593	1.5951	0.00371
178	1.0e-03	0.8341	0.6803	0.6611	1.5694	0.00175
179	1.0e-03	0.8369	0.6676	0.6569	1.5962	0.00296
180	1.0e-03	0.8382	0.6656	0.6427	1.6942	0.00364
181	1.0e-03	0.8384	0.6688	0.6489	1.6734	0.00336
182	1.0e-03	0.8390	0.6661	0.6457	1.6879	0.00310
183	1.0e-03	0.8360	0.6742	0.6521	1.6260	0.00153
184	1.0e-03	0.8422	0.6544	0.6468	1.6659	0.00368
185	1.0e-03	0.8419	0.6526	0.6516	1.6598	0.00428
186	1.0e-03	0.8375	0.6643	0.6571	1.6491	0.00236
187	1.0e-03	0.8438	0.6526	0.6565	1.6111	0.00369
188	1.0e-03	0.8421	0.6528	0.6437	1.6736	0.00292
189	1.0e-03	0.8428	0.6546	0.6585	1.5941	0.00239
190	1.0e-03	0.8424	0.6563	0.6451	1.6585	0.00159
191	1.0e-03	0.8435	0.6460	0.6567	1.6368	0.00283
192	1.0e-03	0.8460	0.6431	0.6606	1.6238	0.00390
193	1.0e-03	0.8449	0.6435	0.6498	1.6607	0.00335
194	1.0e-03	0.8443	0.6442	0.6554	1.6152	0.00283
195	1.0e-03	0.8441	0.6470	0.6519	1.6212	0.00133
196	1.0e-03	0.8457	0.6444	0.6443	1.7185	0.00101
197	1.0e-03	0.8481	0.6320	0.6513	1.7053	0.00330
198	1.0e-03	0.8464	0.6368	0.6577	1.6032	0.00322
199	1.0e-03	0.8487	0.6299	0.6602	1.6268	0.00367
200	1.0e-03	0.8510	0.6289	0.6591	1.6018	0.00367
201	1.0e-03	0.8496	0.6277	0.6566	1.6492	0.00370
202	1.0e-03	0.8479	0.6298	0.6639	1.5947	0.00301
203	1.0e-03	0.8484	0.6269	0.6582	1.6181	0.00237
204	1.0e-03	0.8489	0.6286	0.6506	1.6809	0.00170
205	1.0e-03	0.8498	0.6288	0.6532	1.6406	0.00112
206	1.0e-03	0.8514	0.6184	0.6539	1.6316	0.00231
207	1.0e-03	0.8508	0.6258	0.6587	1.6363	0.00152
208	1.0e-03	0.8494	0.6274	0.6490	1.6859	0.00065
209	1.0e-03	0.8493	0.6237	0.6600	1.6384	0.00101
210	1.0e-03	0.8520	0.6203	0.6544	1.6649	0.00132
211	1.0e-03	0.8536	0.6172	0.6612	1.5991	0.00185
212	1.0e-03	0.8528	0.6125	0.6580	1.6444	0.00292
213	1.0e-03	0.8518	0.6175	0.6560	1.6520	0.00228
214	1.0e-03	0.8543	0.6097	0.6574	1.6160	0.00271
215	1.0e-03	0.8566	0.6095	0.6494	1.6588	0.00266
216	1.0e-03	0.8545	0.6129	0.6582	1.6537	0.00195
217	1.0e-03	0.8537	0.6097	0.6419	1.7331	0.00159
218	1.0e-03	0.8515	0.6168	0.6556	1.6337	0.00038
219	1.0e-03	0.8540	0.6077	0.6422	1.7401	0.00076
220	1.0e-03	0.8572	0.6015	0.6441	1.7146	0.00199
221	1.0e-03	0.8540	0.6091	0.6520	1.6532	0.00168
222	1.0e-03	0.8575	0.5930	0.6568	1.6499	0.00377
223	1.0e-03	0.8552	0.6097	0.6512	1.6895	0.00155
224	1.0e-03	0.8585	0.5906	0.6564	1.6525	0.00330
225	1.0e-03	0.8546	0.6052	0.6624	1.6286	0.00116
